countrySource,countryTarget,value,type,year,month
Canada,South Korea,366.394597,export,2011,1
Brazil,South Korea,377.971323,export,2011,1
United Kingdom,South Korea,258.287638,export,2011,1
Netherlands,South Korea,469.50698,export,2011,1
France,South Korea,306.643169,export,2011,1
Germany,South Korea,1072.767279,export,2011,1
Italy,South Korea,301.985526,export,2011,1
Russia,South Korea,624.889472,export,2011,1
China,South Korea,6759.985517,export,2011,1
South Korea,South Korea,0.0,export,2011,1
Japan,South Korea,5077.330601,export,2011,1
India,South Korea,601.421415,export,2011,1
Singapore,South Korea,1406.8204050000002,export,2011,1
Indonesia,South Korea,1322.802612,export,2011,1
United States,Japan,4998.190538,export,2011,1
Canada,Japan,817.474769,export,2011,1
Brazil,Japan,614.6837889999999,export,2011,1
United Kingdom,Japan,463.461152,export,2011,1
Netherlands,Japan,334.79313,export,2011,1
France,Japan,656.4664190000001,export,2011,1
Germany,Japan,1550.826943,export,2011,1
Italy,Japan,450.861416,export,2011,1
Russia,Japan,1009.843472,export,2011,1
China,Japan,11493.601915,export,2011,1
South Korea,Japan,2938.195352,export,2011,1
Japan,Japan,0.0,export,2011,1
India,Japan,406.160587,export,2011,1
Singapore,Japan,1373.584906,export,2011,1
Indonesia,Japan,2207.532962,export,2011,1
United States,India,1352.5169050000002,export,2011,1
Canada,India,149.071508,export,2011,1
Brazil,India,155.913154,export,2011,1
United Kingdom,India,724.7080030000001,export,2011,1
Netherlands,India,189.889808,export,2011,1
France,India,277.424435,export,2011,1
Germany,India,1003.531898,export,2011,1
Italy,India,319.291909,export,2011,1
Russia,India,244.660623,export,2011,1
China,India,3913.988416,export,2011,1
South Korea,India,1137.837013,export,2011,1
Japan,India,606.084134,export,2011,1
India,India,0.0,export,2011,1
Singapore,India,1091.519528,export,2011,1
Indonesia,India,801.105412,export,2011,1
United States,Singapore,2366.8291440000003,export,2011,1
Canada,Singapore,59.322116,export,2011,1
Brazil,Singapore,193.312579,export,2011,1
United Kingdom,Singapore,401.31265,export,2011,1
Netherlands,Singapore,210.940065,export,2011,1
France,Singapore,455.51612,export,2011,1
Germany,Singapore,580.50552,export,2011,1
Italy,Singapore,133.667094,export,2011,1
Russia,Singapore,66.624848,export,2011,1
China,Singapore,3043.335762,export,2011,1
